Кластер,Имя,МО,Зарплата (медиана),Доля еды,Доля кафе,Доля маркетплейсов,Инвестиции руб/чел,Прокси населения
0,Богатые пригороды,85,51182.0,0.432,0.033,0.118,3.86,31394.0
1,Средние цифровые,63,50417.0,0.44,0.021,0.175,4.03,34657.0
2,Средние промышленные,55,46221.0,0.496,0.017,0.127,3.04,22435.0
3,Цифровые с низкой едой,46,43076.0,0.429,0.023,0.171,4.42,27300.0
4,Депрессивные с газом,43,41873.0,0.486,0.013,0.163,2.49,19821.0
5,Северные без газа,38,51453.0,0.464,0.024,0.125,4.67,21236.0
6,Лесные средние,36,53695.0,0.492,0.018,0.145,4.11,22604.0
7,Средние цифровые (2),34,44791.0,0.471,0.016,0.171,2.98,24930.0
8,Сельские без газа,33,44819.0,0.506,0.012,0.151,2.58,15437.0
9,Северные промышленные ⭐,33,86757.0,0.447,0.035,0.089,15.58,14527.0
10,Высокая цифровизация,31,45089.0,0.477,0.013,0.183,3.42,15472.0
